,state,incident_type,count,percentage
55,CO,Dam/Levee Break,1,0.15
64,CT,Hurricane,96,37.65
66,CT,Snowstorm,60,23.53
65,CT,Severe Storm,56,21.96
62,CT,Biological,21,8.24
63,CT,Flood,17,6.67
67,CT,Tornado,5,1.96
72,DC,Severe Storm,9,39.13
70,DC,Hurricane,6,26.09
73,DC,Snowstorm,3,13.04
68,DC,Biological,2,8.7
71,DC,Other,2,8.7
69,DC,Earthquake,1,4.35
78,DE,Hurricane,22,41.51
80,DE,Snowstorm,13,24.53
74,DE,Biological,6,11.32
79,DE,Severe Storm,5,9.43
76,DE,Drought,3,5.66
77,DE,Flood,3,5.66
75,DE,Coastal Storm,1,1.89
87,FL,Hurricane,1219,51.83
89,FL,Severe Storm,363,15.43
83,FL,Fire,277,11.78
81,FL,Biological,150,6.38
85,FL,Freezing,147,6.25
84,FL,Flood,73,3.1
91,FL,Tropical Storm,54,2.3
90,FL,Tornado,38,1.62
82,FL,Coastal Storm,25,1.06
86,FL,Human Cause,4,0.17
88,FL,Other,2,0.09
95,FM,Typhoon,23,74.19
92,FM,Drought,6,19.35
93,FM,Fire,1,3.23
94,FM,Flood,1,3.23
101,GA,Hurricane,905,39.73
103,GA,Severe Storm,422,18.53
96,GA,Biological,320,14.05
105,GA,Tornado,157,6.89
102,GA,Severe Ice Storm,152,6.67
97,GA,Drought,144,6.32
104,GA,Snowstorm,93,4.08
99,GA,Flood,62,2.72
98,GA,Fire,17,0.75
100,GA,Freezing,6,0.26
110,GU,Typhoon,13,68.42
106,GU,Biological,2,10.53
109,GU,Severe Storm,2,10.53
107,GU,Earthquake,1,5.26
108,GU,Fire,1,5.26
115,HI,Hurricane,22,22.0
113,HI,Fire,20,20.0
118,HI,Severe Storm,16,16.0
114,HI,Flood,14,14.0
111,HI,Biological,9,9.0
112,HI,Earthquake,7,7.0
121,HI,Volcanic Eruption,4,4.0
119,HI,Tsunami,3,3.0
117,HI,Other,2,2.0
120,HI,Typhoon,2,2.0
116,HI,Mud/Landslide,1,1.0
124,IA,Flood,722,39.07
127,IA,Severe Storm,686,37.12
122,IA,Biological,203,10.98
125,IA,Hurricane,99,5.36
126,IA,Severe Ice Storm,74,4.0
128,IA,Snowstorm,43,2.33
129,IA,Tornado,18,0.97
123,IA,Drought,3,0.16
130,ID,Biological,93,25.76
134,ID,Flood,90,24.93
136,ID,Severe Storm,60,16.62
133,ID,Fire,53,14.68
135,ID,Hurricane,44,12.19
131,ID,Drought,9,2.49
138,ID,Volcanic Eruption,8,2.22
132,ID,Earthquake,3,0.83
137,ID,Snowstorm,1,0.28
140,IL,Flood,317,24.71
143,IL,Severe Storm,275,21.43
144,IL,Snowstorm,218,16.99
139,IL,Biological,204,15.9
145,IL,Tornado,139,10.83
141,IL,Hurricane,102,7.95
142,IL,Severe Ice Storm,28,2.18
150,IN,Severe Storm,655,45.14
151,IN,Snowstorm,226,15.58
147,IN,Flood,208,14.33
146,IN,Biological,185,12.75
148,IN,Hurricane,92,6.34
152,IN,Tornado,59,4.07
149,IN,Severe Ice Storm,26,1.79
